sample_index,image_path,slide_id,label,bbox_x1,bbox_y1,bbox_x2,bbox_y2,split
0,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,505,168,634,303,train
1,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,196,10,330,150,train
2,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,139,75,273,205,train
3,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,258,200,407,345,train
4,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,842,287,959,403,train
5,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,908,239,1035,381,train
6,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,865,189,1000,305,train
7,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,865,189,994,305,train
8,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,908,247,1038,381,train
9,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,842,293,950,403,train
10,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,1544,171,1688,307,train
11,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,1622,0,1790,133,train
12,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,2325,232,2477,404,train
13,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,1962,42,2175,205,train
14,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,2541,107,2652,244,train
15,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,2407,0,2639,233,train
16,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,2539,177,2716,315,train
17,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,2885,314,2993,405,train
18,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,2886,260,3007,376,train
19,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,2940,245,3063,364,train
20,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,3064,49,3224,179,train
21,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,3467,174,3571,277,train
22,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,3467,85,3648,277,train
23,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,3335,272,3503,398,train
24,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,3718,241,3859,377,train
25,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,3704,10,3845,179,train
26,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,4049,225,4172,345,train
27,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,4049,170,4149,271,train
28,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,4178,149,4290,258,train
29,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,4109,147,4257,288,train
30,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,4064,106,4184,234,train
31,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,4184,94,4292,211,train
32,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,4168,13,4294,132,train
33,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,4502,487,4642,747,train
34,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,4505,0,4684,214,train
35,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,4574,0,4678,96,train
36,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,4782,320,4919,464,train
37,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,5126,505,5256,662,train
38,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,5142,439,5303,581,train
39,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,5333,754,5443,858,train
40,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,5364,715,5469,822,train
41,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,5380,686,5483,785,train
42,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,5697,168,5885,307,train
43,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,6009,223,6168,371,train
44,/scratch/jsanchoz/MARTA/data/images/IM6.png,IM6,0,6237,82,6424,277,train
